#{"t_start": 1659450764.3354454, "env_id": null}
r,l,t,fractional_success
0.128491,834,20.866286,0.0
1.230568,834,42.681734,0.0
0.724638,834,63.63876,0.0
1.484263,834,84.008727,0.0
1.359285,834,104.103048,0.0
1.261584,834,125.168212,0.0
1.539255,834,147.930232,0.0
1.68554,834,169.87785,0.0
1.528773,834,191.785464,0.0
1.286508,834,212.757429,0.39819999508459086
1.722768,834,233.821367,0.0
1.504001,834,257.011461,0.0
1.870086,834,278.372809,0.0
1.996581,834,300.855717,0.0
1.824023,834,322.628534,0.0
1.679708,834,345.414422,0.0
1.575513,834,366.775614,0.0
1.633011,834,390.926179,0.0
1.927149,834,414.034118,0.0
2.143515,834,437.090281,0.0
1.341649,834,457.999955,0.0
1.982385,834,479.007782,0.0
1.874049,834,500.614633,0.0
1.913121,834,521.330691,0.0
1.668089,834,542.926429,0.0
1.52236,834,564.039243,0.0
1.990517,834,584.489629,0.0
1.854771,834,603.380762,0.0
2.286216,834,624.364248,0.0
1.774522,834,643.848559,0.0
1.440839,834,666.226869,0.0
1.824747,834,688.687365,0.0
2.063918,834,710.19766,0.0
1.620086,834,732.265823,0.0
1.3506,834,753.815035,0.0
1.615624,834,779.232235,0.0
2.123928,834,802.58714,0.0
1.554458,834,824.891807,0.0
1.513322,834,846.046035,0.0
1.997073,834,867.791255,0.0
1.921652,834,887.69177,0.0
2.118107,834,909.022296,0.0
1.971142,834,930.359997,0.0
1.90941,834,952.061288,0.0
1.844592,834,972.358713,0.0
1.613322,834,995.328622,0.0
1.71305,834,1015.718823,0.0
1.859016,834,1038.396252,0.0
1.607727,834,1060.238825,0.0
1.479593,834,1081.037083,0.0
1.80987,834,1104.149573,0.0
1.647089,834,1124.76166,0.0
1.535433,834,1145.163852,0.0
1.584593,834,1169.738791,0.0
1.669702,834,1191.142797,0.0
1.878812,834,1214.562055,0.0
1.596413,834,1238.229093,0.0
1.746266,834,1263.124192,0.0
1.613199,834,1285.463898,0.0
1.763646,834,1310.734853,0.0
1.491399,834,1337.185576,0.0
1.720521,834,1362.086747,0.0
2.027563,834,1385.364537,0.0
1.736871,834,1408.42704,0.0
1.582677,834,1429.456627,0.0
