#{"t_start": 1659450763.7454774, "env_id": null}
r,l,t,fractional_success
-0.19199,834,21.446253,0.0
0.042839,834,43.390699,0.0
1.60646,834,64.213861,0.0
1.134222,834,84.5237,0.0
1.994182,834,104.692016,0.0
0.666444,834,125.75667,0.0
0.757255,834,148.632195,0.0
1.923079,834,170.467818,0.0
1.654793,834,192.252964,0.0
2.057961,834,213.340876,0.0
1.337341,834,234.439996,0.0
1.502048,834,257.316335,0.0
1.872314,834,278.941781,0.0
2.15098,834,301.442687,0.0
1.444305,834,323.129992,0.0
1.654324,834,346.00339,0.0
2.033632,834,367.34766,0.0
2.256069,834,391.514147,0.3189481553524789
1.261151,834,414.381098,0.0
1.609798,834,437.673247,0.0
2.01874,834,458.63492,0.0
1.881056,834,479.370241,0.0
2.063735,834,501.295594,0.0
1.751604,834,521.942657,0.0
2.022441,834,543.63239,0.06627455593240203
1.454818,834,564.503216,0.0
1.99193,834,585.180026,0.0
1.953182,834,603.97073,0.0
1.865582,834,624.969864,0.0
1.950737,834,644.610515,0.0
1.704253,834,666.846835,0.0
1.959477,834,689.276469,0.0
1.766658,834,710.787628,0.0
1.651086,834,733.091295,0.0
1.945433,834,754.497995,0.0
1.497913,834,779.714211,0.0
1.831699,834,803.168109,0.0
1.507069,834,825.484775,0.0
1.774671,834,846.636003,0.0
1.928754,834,868.561212,0.0
1.56942,834,888.292738,0.0
2.060333,834,909.542749,0.0
1.546255,834,930.880359,0.0
1.623261,834,952.637259,0.0
1.369404,834,972.956683,0.0
1.644934,834,995.876593,0.0
1.70437,834,1016.289794,0.0
1.700667,834,1038.996219,0.0
1.4422,834,1060.992318,0.0
1.454543,834,1081.62605,0.0
1.660284,834,1104.878533,0.0
1.575287,834,1125.449622,0.0
1.569359,834,1145.759822,0.0
1.382007,834,1170.312761,0.0
1.66016,834,1191.722764,0.0
1.370589,834,1215.286015,0.0
1.692328,834,1238.803064,0.0
1.691788,834,1263.813152,0.0
2.001125,834,1286.004869,0.0
1.712287,834,1311.324821,0.0
1.780966,834,1337.795479,0.0
1.61168,834,1362.675715,0.0
1.712827,834,1385.961504,0.0
1.720886,834,1409.148999,0.0
1.727301,834,1430.067593,0.0
1.65385,834,1453.238594,0.0
1.506013,834,1476.787108,0.0
1.695869,834,1505.17499,0.0
1.622533,834,1533.596161,0.0
1.673902,834,1560.564717,0.0
1.643479,834,1585.476247,0.0
1.570589,834,1607.452969,0.0
1.649972,834,1629.742695,0.0
1.67921,834,1654.170875,0.0
1.686964,834,1677.504581,0.0
1.661155,834,1700.057312,0.0
1.650658,834,1721.840714,0.0
2.103916,834,1744.814859,0.0
1.590686,834,1767.855969,0.0
1.759969,834,1790.368363,0.0
1.681673,834,1819.157292,0.0
1.717014,834,1853.37516,0.0
2.163784,834,1876.541615,0.0
1.670735,834,1898.831359,0.0
2.084711,834,1920.718681,0.0
2.193568,834,1942.389408,0.0
1.69758,834,1966.545397,0.0
2.181002,834,1990.342362,0.0
2.025809,834,2012.921172,0.0
2.146449,834,2033.687793,0.0
2.120622,834,2056.975529,0.0
2.127605,834,2079.654153,0.0
2.251033,834,2107.553845,0.0
2.118596,834,2133.233421,0.0
1.550799,834,2157.392684,0.0
1.935032,834,2182.378043,0.0
1.641756,834,2205.756301,0.0
1.729492,834,2230.762547,0.0
1.707976,834,2254.482594,0.0
1.839362,834,2277.64386,0.0
1.663084,834,2304.035911,0.0
2.021792,834,2326.475366,0.0
1.618327,834,2350.978201,0.0
1.640321,834,2375.370361,0.0
2.190628,834,2400.169721,0.0
1.86638,834,2428.910577,0.0
2.29936,834,2452.322448,0.0
2.226851,834,2475.687203,0.0
2.167614,834,2498.997337,0.0
1.80851,834,2522.650942,0.0
1.579264,834,2546.744359,0.0
2.073148,834,2570.821789,0.0
1.946029,834,2594.709995,0.0
2.151249,834,2616.250076,0.0
1.723749,834,2639.69391,0.0
2.171969,834,2663.384806,0.0
2.111749,834,2688.171478,0.0
2.129204,834,2712.280618,0.0
1.732213,834,2736.222463,0.0
1.965088,834,2762.011026,0.0
1.721037,834,2785.953963,0.0
1.754651,834,2809.989421,0.0
2.128725,834,2833.748867,0.0
1.646652,834,2858.042685,0.0
1.803929,834,2881.697819,0.0
1.734417,834,2906.474868,0.0
1.636222,834,2928.427047,0.0
2.052721,834,2951.226755,0.0
1.808569,834,2976.07392,0.0
1.633707,834,2999.668308,0.0
1.962659,834,3025.577286,0.0
2.092478,834,3048.710979,0.0
1.628868,834,3073.536501,0.0
2.112512,834,3098.516723,0.0
1.640156,834,3123.775526,0.0
1.784254,834,3150.463119,0.0
2.162365,834,3175.265862,0.0
1.806414,834,3200.19871,0.0
1.875535,834,3225.853828,0.0
1.693948,834,3249.75471,0.0
2.129022,834,3279.010984,0.0
2.097504,834,3304.973315,0.0
1.801382,834,3337.831755,0.0
1.766738,834,3367.28773,0.0
1.682583,834,3395.185956,0.0
2.201529,834,3421.203884,0.0
1.562915,834,3450.189658,0.0
1.700988,834,3475.157269,0.0
2.157238,834,3503.343469,0.0
2.070644,834,3526.331665,0.0
2.204921,834,3550.20594,0.0
1.752924,834,3574.612884,0.0
1.593478,834,3599.447302,0.0
1.638957,834,3625.029211,0.0
1.911006,834,3650.511221,0.0
1.872252,834,3672.556461,0.0
1.755813,834,3698.283587,0.0
1.775929,834,3722.224495,0.0
1.689747,834,3745.391212,0.0
2.176033,834,3767.565495,0.0
1.778748,834,3789.83139,0.0
1.603808,834,3814.319132,0.0
1.779322,834,3837.827609,0.0
1.836293,834,3864.051109,0.0
1.676918,834,3890.506287,0.0
1.898493,834,3916.000435,0.0
2.052162,834,3939.241319,0.0
1.74246,834,3960.686188,0.0
1.736205,834,3985.174621,0.0
2.33929,834,4008.55297,0.0
1.761871,834,4032.073942,0.0
1.741585,834,4055.735832,0.0
2.117997,834,4078.888437,0.0
2.037389,834,4103.599566,0.0
1.87024,834,4125.688089,0.0
1.609664,834,4150.554775,0.0
2.066689,834,4173.552477,0.0
1.69954,834,4197.1257,0.0
2.222852,834,4218.996388,0.0
1.758393,834,4242.173023,0.0
1.977433,834,4264.041923,0.0
1.685993,834,4287.371987,0.0
1.866315,834,4310.329747,0.0
2.273729,834,4333.704626,0.0
1.853415,834,4359.384909,0.0
2.001613,834,4381.387557,0.0
2.370995,834,4403.450397,0.0
1.904409,834,4427.588637,0.0
2.15766,834,4452.707758,0.0
2.057609,834,4476.086321,0.0
1.878829,834,4497.402334,0.0
1.951866,834,4519.526191,0.0
2.078901,834,4541.79752,0.0
2.16397,834,4565.821687,0.0
2.169192,834,4588.600461,0.0
1.861271,834,4610.521424,0.0
1.999977,834,4635.755181,0.0
1.608551,834,4658.661114,0.0
1.869471,834,4684.771766,0.0
2.084237,834,4708.822652,0.0
1.920416,834,4732.064968,0.0
1.921623,834,4756.25671,0.0
1.708369,834,4778.898192,0.0
1.731395,834,4800.930381,0.0
1.980819,834,4827.530964,0.0
1.933177,834,4854.583963,0.0
1.808378,834,4879.382162,0.0
1.749811,834,4904.714252,0.0
1.827613,834,4931.65227,0.0
1.893068,834,4956.738742,0.0
1.634121,834,4979.282592,0.0
1.828926,834,5002.465387,0.0
1.872465,834,5025.884171,0.0
2.206024,834,5049.431947,0.0
1.780509,834,5077.484493,0.0
1.977019,834,5098.923381,0.0
2.213835,834,5121.097229,0.0
2.312664,834,5144.538012,0.0
2.413812,834,5167.090846,0.0
1.734475,834,5189.910661,0.0
1.59896,834,5212.500493,0.0
1.646007,834,5234.012846,0.0
1.804847,834,5256.448212,0.0
1.728851,834,5280.110988,0.0
1.686235,834,5305.172688,0.0
1.785905,834,5329.660422,0.0
1.869679,834,5355.497074,0.0
1.938815,834,5379.339837,0.0
1.666291,834,5402.727624,0.0
1.936752,834,5428.699278,0.0
2.198695,834,5454.204957,0.0
2.132596,834,5479.085672,0.0
1.827148,834,5503.441412,0.0
2.202379,834,5525.909249,0.0
1.956472,834,5551.077976,0.0
1.979515,834,5575.126705,0.0
1.792503,834,5601.106589,0.0
1.998178,834,5625.84031,0.0
2.15417,834,5649.359095,0.0
2.139556,834,5673.216873,0.0
1.797954,834,5695.226727,0.0
2.404683,834,5718.132544,0.0
1.794595,834,5743.209247,0.0
2.655269,834,5766.944844,0.0
1.630397,834,5790.443811,0.0
1.823434,834,5812.627665,0.0
1.733854,834,5836.710423,0.0
1.950185,834,5861.412148,0.0
1.978721,834,5885.678896,0.0
3.342177,834,5909.361676,0.7153263608459456
2.156593,834,5933.670278,0.0
2.187362,834,5957.646041,0.0
2.242222,834,5981.867792,0.0
2.108535,834,6005.956548,0.0
1.816599,834,6030.915261,0.0
